name,prt,fat,crb,cal
Cows' milk,32.0,40.0,48.0,660.0
Milk skim,36.0,0.0,52.0,360.0
Buttermilk,9.0,5.0,13.0,127.0
"Evaporated, undiluted",16.0,20.0,24.0,345.0
Fortified milk,89.0,42.0,119.0,1.373
Powdered milk,27.0,28.0,39.0,515.0
"skim, instant",30.0,0.0,42.0,290.0
"skim, non-instant",30.0,0.0,42.0,290.0
Goats' milk,8.0,10.0,11.0,165.0
(1/2 cup ice cream),24.0,24.0,70.0,690.0
Cocoa,8.0,11.0,26.0,235.0
skim. milk,18.0,4.0,13.0,128.0
(cornstarch),9.0,10.0,40.0,275.0
Custard,13.0,14.0,28.0,285.0
Ice cream,6.0,18.0,29.0,300.0
Ice milk,9.0,10.0,32.0,275.0
Cream or half-and-half,4.0,15.0,5.0,170.0
or whipping,2.0,44.0,3.0,430.0
Cheese,30.0,11.0,6.0,240.0
uncreamed,38.0,0.0,6.0,195.0
Cheddar,4.0,6.0,0.0,70.0
"Cheddar, grated cup",14.0,19.0,1.0,226.0
Cream cheese,2.0,11.0,1.0,105.0
Processed cheese,7.0,9.0,0.0,105.0
Roquefort type,6.0,9.0,0.0,105.0
Swiss,7.0,8.0,0.0,105.0
Eggs raw,12.0,12.0,0.0,150.0
Eggs Scrambled or fried,13.0,16.0,1.0,220.0
Yolks,6.0,10.0,0.0,120.0
Butter,0.0,11.0,0.0,100.0
Butter,114.0,115.0,118.0,113.0
Butter,114.0,115.0,118.0,113.0
Hydrogenated cooking fat,0.0,100.0,0.0,665.0
Lard,0.0,110.0,0.0,992.0
Margarine,0.0,91.0,0.0,806.0
"Margarine, 2 pat or",0.0,11.0,0.0,100.0
Mayonnaise,0.0,12.0,0.0,110.0
Corn oil,0.0,14.0,0.0,125.0
Olive oil,0.0,14.0,0.0,125.0
Safflower seed oil,0.0,14.0,0.0,125.0
French dressing,0.0,6.0,2.0,60.0
Thousand Island sauce,0.0,8.0,1.0,75.0
Salt pork,3.0,55.0,0.0,470.0
Bacon,4.0,8.0,1.0,95.0
Beef,23.0,16.0,0.0,245.0
Hamburger,21.0,17.0,0.0,245.0
Ground lean,24.0,10.0,0.0,185.0
Roast beef,16.0,36.0,0.0,390.0
Steak,20.0,27.0,0.0,330.0
"Steak, lean, as round",24.0,12.0,0.0,220.0
Corned beef,22.0,10.0,0.0,185.0
Corned beef hash canned,12.0,8.0,6.0,120.0
Corned beef hash Dried,19.0,4.0,0.0,115.0
Pot-pie,18.0,28.0,32.0,480.0
Corned beef hash Stew,15.0,10.0,15.0,185.0
chicken,23.0,9.0,0.0,185.0
"Fried, breast or leg and thigh chicken",25.0,15.0,0.0,245.0
Roasted chicken,25.0,20.0,0.0,290.0
"Chicken livers, fried",22.0,14.0,2.3,140.0
"Duck, domestic",16.0,28.0,0.0,370.0
"Lamb, chop, broiled",24.0,35.0,0.0,480.0
Leg roasted,20.0,14.0,0.0,314.0
"Shoulder, braised",18.0,23.0,0.0,285.0
"Pork, chop, 1 thick",16.0,21.0,0.0,260.0
Ham pan-broiled,16.0,22.0,0.0,290.0
"Ham, as ",13.0,13.0,0.0,170.0
"Ham, canned, spiced",8.0,14.0,1.0,165.0
Pork roast,21.0,24.0,0.0,310.0
Pork sausage,18.0,44.0,0.0,475.0
Turkey,27.0,15.0,0.0,265.0
Veal,23.0,9.0,0.0,185.0
Roast,13.0,14.0,0.0,305.0
Clams,12.0,1.0,2.0,87.0
Cod,28.0,5.0,0.0,170.0
