product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
278b3c6462e86b4556b99989513ddf73,eletroportateis,58.0,587.0,3.0,350.0,20.0,20.0,20.0
3014e35fd70fce29095ced5cdc89f4ce,telefonia,51.0,244.0,1.0,125.0,17.0,10.0,14.0
15a9e834e89eab39d973492882c658d6,cama_mesa_banho,52.0,530.0,6.0,949.0,30.0,20.0,26.0
db56f6d2b04c89eae4daba188842fd7b,malas_acessorios,56.0,450.0,3.0,12450.0,40.0,25.0,57.0
154e7e31ebfa092203795c972e5804a6,beleza_saude,48.0,575.0,1.0,100.0,20.0,15.0,15.0
20a8603c265d777e25da064113d556f5,telefonia,59.0,474.0,3.0,475.0,17.0,14.0,14.0
87285b34884572647811a353c7ac498a,utilidades_domesticas,40.0,268.0,4.0,500.0,19.0,8.0,13.0
7c1bd920dbdf22470b68bde975dd3ccf,beleza_saude,59.0,492.0,2.0,200.0,22.0,10.0,18.0
b37b72d5a56f887725c2862184b8cab8,telefonia,59.0,566.0,1.0,150.0,19.0,4.0,11.0
ac1789e492dcd698c5c10b97a671243a,moveis_decoracao,41.0,432.0,2.0,300.0,35.0,35.0,15.0
f410090aec61f7c73748ca894286edcd,papelaria,60.0,1847.0,3.0,450.0,35.0,50.0,12.0
e251ebd2858be1aa7d9b2087a6992580,ferramentas_jardim,34.0,511.0,4.0,8875.0,40.0,14.0,43.0
1501b0033c68a37fa9560033a440e529,eletroportateis,58.0,1160.0,6.0,410.0,24.0,22.0,17.0
43ee88561093499d9e571d4db5f20b79,moveis_decoracao,39.0,161.0,3.0,200.0,20.0,20.0,20.0
f8a8f05a35976a91aed5cccc3992c357,moveis_decoracao,63.0,418.0,1.0,1500.0,45.0,15.0,35.0
7564c1759c04fc0a38f2aa84f7a370ee,construcao_ferramentas_construcao,59.0,2432.0,3.0,1200.0,16.0,11.0,11.0
ebd7c847c1e1cb69ec374ae0ebee1f4c,moveis_decoracao,50.0,228.0,3.0,1200.0,40.0,15.0,30.0
2b4609f8948be18874494203496bc318,beleza_saude,59.0,492.0,3.0,250.0,22.0,10.0,18.0
c7df652246ed7b3300aaf46960c141e4,beleza_saude,28.0,1455.0,1.0,683.0,29.0,15.0,22.0
2d8f2be4f08788ee3bf5356af2b2ee6c,climatizacao,52.0,331.0,4.0,100.0,27.0,13.0,17.0
f7d7b5c58704fb359a74580622800051,cama_mesa_banho,53.0,223.0,1.0,950.0,45.0,15.0,35.0
304fad8dc4d2012dc4062839972f2d96,construcao_ferramentas_construcao,59.0,1775.0,2.0,1700.0,16.0,11.0,11.0
60184212dae4e6b0da32bf54271a8c4a,relogios_presentes,59.0,476.0,2.0,394.0,17.0,11.0,14.0
d1c427060a0f73f6b889a5c7c61f2ac4,informatica_acessorios,59.0,1893.0,1.0,6550.0,20.0,20.0,20.0
cf944645d4ff2a3eed3ae17f641ea861,fashion_underwear_e_moda_praia,52.0,579.0,1.0,450.0,42.0,4.0,14.0
6893767814d1ac82a81bcd365e1cc918,eletronicos,26.0,511.0,1.0,200.0,25.0,7.0,16.0
d70f38e7f79c630f8ea00c993897042c,bebes,53.0,233.0,1.0,10950.0,41.0,40.0,40.0
4520766ec412348b8d4caa5e8a18c464,automotivo,59.0,956.0,1.0,50.0,16.0,16.0,17.0
5ac9d9e379c606e36a8094a6046f75dc,beleza_saude,46.0,2345.0,6.0,525.0,21.0,16.0,13.0
9d2ff462feaaf88912539b8647e17ab4,informatica_acessorios,42.0,315.0,1.0,813.0,32.0,16.0,16.0
72d3bf1d3a790f8874096fcf860e3eff,brinquedos,57.0,341.0,2.0,583.0,20.0,21.0,20.0
64d0feb1bcf9c7fe7b5dad3271c10910,moveis_decoracao,58.0,696.0,7.0,750.0,25.0,15.0,35.0
