,doc,text,type
16,tz_01.docx,"2.2 Техническое задание
2.2.1 Общие сведения
полное наименование системы и ее условное обозначение: Конфигурация «Бухгалтерия предприятия» в среде «1С: Предприятие 8.1»; 
шифр темы: ДП – УлГТУ –  08080165 – 00/00000 – 2010;
наименование предприятий разработчика и заказчика системы, их реквизиты: УМКУП «Городской градостроительный сервис», .Ульяновск, пер.Комсомольский 3, 8-962-633-01-77;
перечень документов, на основании которых создается информационная система: ; 
плановые сроки начала и окончания работ:1 апреля . – 15 июня .;
сведения об источниках и порядке финансирования работ: работа проводится на безвозмездной основе, не финансируется;
порядок оформления и предъявления заказчику результатов работ по созданию системы, ее частей и отдельных средств: по окончанию работ заказчику передается установочный диск со всеми дистрибутивами, необходимыми для функционирования разработанного программного продукта, а так же сопроводительная документация: техническое задание и методические указания пользователю и программисту.

Назначение и цели создания системы
Разработанный программный продукт предназначен для обеспечения полноты автоматизации деятельности бухгалтера организации УМКУП «Городской градостроительный сервис» при использовании конфигурации «Бухгалтерия предприятия» на платформе «1С: Предприятие 8.1» в части расчета заработной платы  и учета деятельности сотрудников организации. Предполагается использование системы на автоматизированном рабочем месте главного бухгалтера организации.
Основными целями создания системы являются:
дополнение существующей информационной системы, которая не предоставляет возможность расчета заработной платы организации, имеющей специфические принципы оплаты труда соответствующим функционалом, который, кроме того, затрагивает автоматизацию процессов, влияющих на процесс формирования сумм заработной платы;
повышение эффективности исполнения автоматизируемых процессов, путем сокращения непроизводительных и дублирующих операций, операций, выполняемых «вручную», оптимизации информационного взаимодействие участников процессов; 
повышение качества принятия управленческих решений за счет оперативности представления, полноты, достоверности и удобства форматов отображения информации;

Характеристика объектов автоматизации
Объектом автоматизации является процесс учета расчетов с работниками по оплате труда в организации, имеющей специфические принципы формирования расчетных сумм, в части расчета этих сумм и сбора данных из документов оперативного учета для проведения расчета.

Требования к системе
Требования к системе в целом
а) Требования к структуре и функционированию системы
Назначение и цели создания системы должны быть реализованы в двух подсистемах конфигурации «Бухгалтерия предприятия» на платформе «1С: Предприятие8.1»:
Система бухгалтерского учета
Система оперативного учета
Подсистема оперативного учета должна содержать механизмы, позволяющие вводить в систему и хранить в ней информацию о текущей деятельности организации. В этой подсистеме должны фиксироваться и систематизироваться данные, необходимые для реализации расчета сумм начислений. 
Подсистема бухгалтерского учета должна содержать в себе механизмы для реализации учета расчетов с сотрудниками организации. Именно эта подсистема должна реализовывать процесс расчета, используя данные, содержащиеся в подсистеме оперативного учета.
б) Требования к персоналу
Для наиболее эффективного функционирования системы помимо пользователя – главного бухгалтера организации, для автоматизации деятельности которого предназначена система, необходимо иметь специалиста технической поддержки данного программного продукта. 
в) Показатели назначения 
Система должна предусматривать возможность масштабирования по производительности и объему обрабатываемой информации без модификации ее программного обеспечения путем модернизации используемого комплекса технических средств. Изменение процессов управления не должно отражаться на правильности функционирования системы.
г) Требования к надежности, эргономике, защите и сохранности информации, защите от внешних воздействий.
Система должна сохранять работоспособность и обеспечивать восстановление своих функций при возникновении следующих внештатных ситуаций:
при сбоях в системе электроснабжения аппаратной части, приводящих к перезагрузке ОС;
при ошибках в работе аппаратных средств (кроме носителей данных и программ) восстановление функции системы возлагается на ОС;
при ошибках, связанных с программным обеспечением (ОС и драйверы устройств), восстановление работоспособности возлагается на ОС
система должна обеспечивать корректную обработку аварийных ситуаций, вызванных неверными действиями пользователей, неверным форматом или недопустимыми значениями входных данных. В указанных случаях система должна выдавать пользователю соответствующие сообщения, после чего возвращаться в рабочее состояние, предшествовавшее неверной (недопустимой) команде или некорректному вводу данных. 
Система должна быть эргономичной. Интерфейс системы должен быть понятным и удобным, не должен быть перегружен графическими элементами и должен обеспечивать быстрое отображение экранных форм. Навигационные элементы должны быть выполнены в удобной для пользователя форме. Средства редактирования информации должны удовлетворять принятым соглашениям в части использования функциональных клавиш, режимов работы, поиска, использования оконной системы. Ввод-вывод данных системы, прием управляющих команд и отображение результатов их исполнения должны выполняться в интерактивном режиме. Интерфейс должен соответствовать современным эргономическим требованиям и обеспечивать удобный доступ к основным функциям и операциям системы.
Интерфейс должен быть рассчитан на преимущественное использование манипулятора типа «мышь», то есть управление системой должно осуществляться с помощью набора экранных меню, кнопок, значков и т. п. элементов. Клавиатурный режим ввода должен используется главным образом при заполнении и/или редактировании текстовых и числовых полей экранных форм.
Все надписи экранных форм, а также сообщения, выдаваемые пользователю (кроме системных сообщений) должны быть на русском языке.
ИС должна обеспечивать защиту от несанкционированного доступа. Компоненты подсистемы защиты от несанкционированного доступа должны обеспечивать:
идентификацию пользователя;
проверку полномочий пользователя при работе с системой;
разграничение доступа пользователей на уровне задач и информационных массивов.

Требования к функциям (по подсистемам)
Подсистема оперативного учета
Подсистема оперативного учета должна осуществлять ввод и хранение оперативных данных системы, данных для формирования аналитических отчетов, документов системы, сформированных в процессе работы.
Все элементы, входящие в состав подсистемы оперативного учета, должны обладать следующей основной функциональностью:
Постоянное хранение данных;
Добавление новых элементов;
Редактирование элементов;
Удаление (удаление элементов возможно лишь в том случае, если другие существующие объекты системы не ссылаются на удаляемый элемент);
Просмотр элементов;
Просмотр списка элементов;
Фильтрация и сортировка списка элементов;
Поиск элементов;
Экспорт и импорт элементов.
Подсистема бухгалтерского учета
Подсистема бухгалтерского учета должна иметь средства для регистрации бухгалтерских операций и формирования на их основе соответствующей итоговой информации, а также подготовки произвольных бухгалтерских отчетов. Подсистема бухгалтерского учета должна вести учет, ориентированный на первичные документы, относящиеся к подсистеме оперативного учета, и иметь функцию расчета сумм начислений заработной платы сотрудникам на основе этих документов.

Требования к видам обеспечения
К видам обеспечения предъявляются следующие требования:
а) математическому: не предъявляются;
б) информационному: уровень хранения данных в системе должен быть построен на основе современных СУБД. Для обеспечения целостности данных должны использоваться встроенные механизмы СУБД. Доступ к данным должен быть предоставлен только авторизованным пользователям с учетом их служебных полномочий, а также с учетом категории запрашиваемой информации. Технические средства, обеспечивающие хранение информации, должны использовать современные технологии, позволяющие обеспечить повышенную надежность хранения данных и оперативную замену оборудования.
в) лингвистическому: система создана на основе языка программирования «1С 8.1»;
г) программному и техническому:
Компьютер конечного пользователя 
операционная систему: MS Windows 98/XP/Vista/Server 2003/2008;
процессор Intel Pentium II 400 МГц и выше (рекомендуется Intel Pentium III 866 МГц);
оперативная память 128 Мбайт и выше (рекомендуется 256 Мбайт);
жесткий диск (при установке используется около 120 Мбайт).
Компьютер, используемый для разработки конфигураций
операционная система: MS Windows 2000/XP/Vista/Server 2003/2008;
процессор Intel Pentium III 866 МГц и выше (рекомендуется Intel Pentium IV/Celeron 1800 МГц);
оперативная память 256 Мбайт и выше (рекомендуется 512 Мбайт);
жесткий диск (при установке используется около 120 Мбайт).
Компьютер сервера 1С:Предприятия 8.1
операционная система: MS Windows 2000/XP/Vista/Server 2003/2008;
процессор Intel Pentium III 866 МГц и выше (рекомендуется Intel Pentium IV/Xeon 2,4 ГГц, для лучшей масштабируемости рекомендуется два и более процессоров);
оперативная память 512 Мбайт и выше (рекомендуется 1024 Мбайт).
Сервер баз данных
Microsoft SQL Server 2000 + Service Pack 2 (рекомендуется Service Pack 3a) или Microsoft SQL Server 2005.
Компьютер сервера баз данных
операционная система: в соответствии с требованиями Microsoft SQL Server;
технические характеристики компьютера должны соответствовать требованиям используемой версии сервера баз данных MS SQL Server.
д) метрологическому: требования не предъявляются;
е) организационному: для эффективного функционирования системы помимо пользователя необходим специалист по технической поддержке. К работе с системой должны допускаться сотрудники, имеющие навыки работы на персональном компьютере, ознакомленные с правилами эксплуатации и прошедшие обучение работе с системой.
ж) методическому: в состав методического обеспечения системы должны входить: инструкция программисту, инструкция пользователю.

Состав и содержание работ по созданию системы
Перечень стадий и этапов работ, а так же сроки их исполнения представлены в Таблице 2.
Таблица 2.
Этапы и сроки исполнения работ
Работы по созданию системы проводились физическим лицом – студенткой группы ИСЭд-51 УлГТУ, Башаровой И.С. Консультантом при разработке являлась Суркова Е.В., доцент кафедры «Информационные системы» УлГТУ, руководитель дипломного проекта.

Порядок контроля и приемки системы
Приемочные испытания должны включать проверку:
полноты и качества реализации необходимых функций;
выполнения каждого требования, относящегося к эргономике;
работы пользователей в диалоговом режиме;
средств и методов восстановления работоспособности системы после отказов;
полноты действий, доступных пользователю, и их достаточность для функционирования системы;
реакции системы на ошибки пользователя;
тестирование на скорость реакции системы на команды пользователя.

Требования к составу и содержанию работ по подготовке объекта автоматизации к вводу системы в действие
Для подготовки объекта автоматизации к вводу системы в действие необходимо при помощи специалиста технической поддержки, осуществляющего обслуживание используемой в организации базовой конфигурации «Бухгалтерия предприятия», выгрузить все информацию, содержащуюся в этой конфигурации, для дальнейшего ее использования в разработанной системе. Загрузка информации в новую конфигурацию должна так же осуществляться специалистом технической поддержки.
Перед началом использования системы пользователю необходимо ознакомится с руководством пользователя, содержащимся в сопроводительной документации разработанной системы и пройти обучение для ознакомления с принципами ее функционирования в течение 1 академического часа (при условии владения пользователя навыками работы в базовой конфигурации «Бухгалтерия предприятия» платформы «1С: Предприятие 8.1»). 

Требования к документированию
Разработке подлежит следующая документация:
Инструкция пользователю;
Инструкция программисту.
",0
19,tz_02.docx,"2.2 Техническое задание
2.2.1 Общие сведения
Полное наименование системы:   «Автоматизированное рабочее место  продавца-консультанта  в салоне  фотоуслуг» в среде «1С: Предприятие 8.1».
Шифр темы: ДП–УлГТУ– 08080165–05/0978–2010.
Наименование предприятия заказчика системы, его реквизиты: ООО «УмКо», г.Ульяновск;
Плановые сроки начала и окончания работ: 1 апреля 2009 года — 15 июня 2009 года;
Сведения об источниках и порядке финансирования работ: данные работы проводятся на безвозмездной основе;
Порядок оформления и предъявления заказчику результатов работ по созданию системы, ее частей и отдельных средств: по окончанию работ заказчику должны быть предъявлены и переданы все необходимые дистрибутивы, набор инструкций и документации.

2.2.2 Назначение и цели создания системы
Разработанная система предназначена для автоматизации работы продавца-консультанта салона фотоуслуг по принятию заказов и выполнению различного рода операций над ними, ведению учета принятых, выполненных и выданных заказов.
Целью создания системы является повышение скорости и качества работы продавца-консультанта, упрощение выполнения им ряда операций, повышение качества обслуживания клиентов за счет актуальности и достоверности хранимой информации по заказам.     

2.2.3 Характеристика объектов автоматизации
Объектом автоматизации является торговый зал салона фотоуслуг, в котором осуществляется продажа фототоваров и реализация услуг.

2.2.3.1 Требования к системе в целом 
Требования к структуре и функционированию системы
Программный продукт должен представлять собой единую систему, без разделения на подсистемы. Система должна функционировать в монопольном режиме.
Требования к персоналу
Для работы с программой пользователи должны обладать навыками работы  на ПЭВМ под управлением операционной системы семейства Windows. Кроме того, пользователи должны обладать знанием предметной области, связанной с оказанием фотоуслуг, а также  иметь представление о работе продавца-консультанта, выполняемых им операциях.    
Требования к надежности
Программный продукт должен отслеживать ошибки в работе программы, возникающие при некорректном вводе информации и других ошибочных действий пользователя, обеспечивать максимально возможное сохранение данных и реагировать специальными сообщениями для оповещения пользователя о его некорректных действиях.
Необходимо использование лицензионной копии программы «1С: Предприятие».
Требования к эргономике и технической эстетике
Разрабатываемая система должна обладать удобным, простым, интуитивно понятным интерфейсом. 
Требования к защите информации от несанкционированного доступа
В системе должна быть реализована аутентификация пользователей. Необходимо реализовать хранение данных пользователей и их паролей. Также необходима регулярная смена паролей.  

2.2.3.2 Требования к функциям
Перечень подлежащих автоматизации задач
Разрабатываемая система должна поддерживать выполнение следующих задач:
ведение учета заказов на всех стадиях их жизненного цикла: прием, выполнение, оплата, выдача;
оформление и регистрация нового заказа;
регистрация полного и частичного выполнения заказа;
регистрация оплаты заказа;
регистрация выдачи заказа;
обмен данными между центральным подразделением и филиалами;
формирование отчетов:
по принятым, но невыполненным заказам;
по выполненным, но невыданным заказам;
по выданным заказам;
по выработке сотрудников;
по оплатам;
по сертификатам.

2.2.3.3 Требования к видам обеспечения
Требования к техническому обеспечению
В состав технических средств должен входить IBM-совместимый персональный компьютер (ПЭВМ), включающий в себя:
процессор – не менее Pentium, 2.0 Hz ;
ОЗУ – не менее 216 Мб;
операционная система – Windows 2000, XP, Vista.
Требования к программному обеспечению
Для функционирования разрабатываемой системы необходимо наличие:
операционной системы MS Windows 98/Me/2000/XP;
1С: Предприятие 8.1.
Требования к лингвистическому обеспечению
При создании программного продукта необходимо использовать язык программирования «1С v8.1».
Требования к методическому обеспечению
Необходимо наличие следующей нормативно-технической документации:
инструкция программисту; 
инструкция пользователю.

2.2.4 Перечень этапов работ и сроки исполнения
Этапы и сроки проведения работ приведены в таблице 1.

Таблица 1
Этапы и сроки выполнения работ

2.2.5 Состав исполнителей работ
Работы по созданию системы проводятся физическим лицом, Гайдуковой Марией Николаевной, студенткой УлГТУ.
При этом консультантом выступает руководитель дипломного проекта Суркова Елена Викторовна.

2.2.6 Требования к составу и содержанию работ по подготовке объекта автоматизации к вводу системы в действие
В рамках подготовки объекта автоматизации к вводу системы  необходимо заполнить следующие справочники  для получения актуальной информации и возможности работы с системой:
справочник Подразделения;
справочник Номенклатура;
справочник Клиенты;
справочник Вид услуги;
справочник Скидка;
справочник Пользователи.
Кроме того, необходимо настроить план обмена «Основной». Для этого нужно заполнить данные текущего узла, а также тех узлов, с которыми он будет производить обмен данными. Необходимо указать узел, который будет считаться Центральным, так как обмен производится в следующих направлениях:
выгрузка данных производится со всех узлов, кроме Центрального;
загрузка данных производится только центральным узлом. 

2.2.7  Требования к документированию
Необходимо наличие следующих документов: 
инструкция пользователю;
инструкция программисту.",0
28,tz_03.docx,"2.2. Техническое задание
Общие сведения:
В данной главе представлены общие сведения о системе:
полное наименование системы и ее условное обозначение:
Web-ориентированная автоматизированная система учета услуг туристической фирмы;
шифр темы или шифр (номер) договора: данный программный продукт разрабатывался в рамках дипломного проектирования, какой-либо договор не заключался; 
наименование предприятий разработчика и заказчика системы, их реквизиты:
предприятие-разработчик: ООО «Волгасофт» (ИНН/КПП 7325082859/73251001, г.Ульяновск, ул.Брестская, 78);
предприятие-заказчик: ООО «Goodline» (ИНН/КПП 6313535100/631301001, г.Самара, МОСКОВСКОЕ ШОССЕ,81а);
перечень документов, на основании которых создается информационная база: спецпредложения туроператора.
плановые сроки начала и окончания работ:
начало работы: 1 марта 2010 года;
окончание работы: 31 мая 2010 года;
сведения об источниках и порядке финансирования работ: данные работы проводятся на безвозмездной основе;
порядок оформления и предъявления заказчику результатов работ по созданию системы, ее частей и отдельных средств: по окончанию работ заказчику должны быть предъявлены и переданы установочный диск со всеми необходимыми дистрибутивами, набор инструкций и документации для полноценного функционирования указанной системы.

Назначение и цели создания системы
вид автоматизируемой деятельности.
Разработанная система предназначена для автоматизации бронирования туров, учета клиентов, ведения базы данных туров.
перечень объектов, на которых предполагается использование системы. 
Данную систему предполагается использовать в  ООО «Goodline».
наименование и требуемые значения технических, технологических, производственно-экономических и др. показателей объекта, которые должны быть достигнуты при внедрении ИС.
 При внедрении ИС должны быть достигнуты следующие цели: 
с технологической точки зрения: должен быть упрощен процесс взаимодействия турагента с клиентами, улучшено качество работы с клиентом;
с производственно-экономической точки зрения: должно быть сокращено время на организацию работы с клиентами и формирование соответствующей отчетности.

Характеристика объектов автоматизации
Объектом автоматизации является ООО «Goodline». Это предприятие специализируется в области предоставления туристических услуг. В фирме существуют разные типы туров: горнолыжные, отдых на море, лечебные и др. Осуществляются поездки по различным направлениям.
В своей работе ООО «Goodline» использует только зарекомендовавшие себя в российских условиях туроператоры, таких как Coral Travel, Pegas Touristic, Ingtour. Профессиональные и доброжелательные сотрудники, оказывают внимание каждому клиенту. Фирма предлагает идеальное соотношение цены и качества. В программы включено максимальное количество оригинальных экскурсий. Большой выбор отелей и апартаментов любой категории по конкурентоспособным ценам. Турфирма предлагает гибкую систему скидок клиентам. Оплата услуг осуществляется в любой удобной для клиента форме – наличный и безналичный расчет
Политика организации нацелена на обслуживание клиентов по популярным направлениям а также принятие заказов на индивидуальные туры.

Требования к системе
Требования к системе в целом
Требования к структуре и функционированию системы
Разработанная система должна состоять из следующих подсистем:
планирование работы с клиентами;
анализ сбытовой деятельности.
Первая подсистема должна предоставить турагенту возможность спланировать своевременное взаимодействие с клиентом с тем, чтобы ни один клиент не оказался «забытым».
Вторая подсистема должна подсчитывать и наглядно представлять экономический результат деятельности, сбыт товаров и услуг.
Требования к персоналу
Число человек, работающих с системой, неограниченно. Оно определяется количеством турагентов в организации. Кроме того, необходим системный администратор.
Системный администратор должен обладать знаниями по настройке веб-сервера, а также выполнять соответствующую настройку и поддержку.
Турагент должен иметь соответственно квалификацию турагента и быть уверенным пользователем интернет и обладать навыками работы с браузерами.
Степень приспособляемости системы
Данная система должна быть гибкой в отношении изменения отчетов, должна обеспечивать настройку их параметров.
Требования к надежности, безопасности, эргономике, транспортабельности, эксплуатации, техническому обслуживанию и ремонту, защите и сохранности информации, защите от внешних воздействий, к патентной чистоте, по стандартизации и унификации.
Система должна быть надежной, т.е. отказоустойчивой к ошибкам пользователя (нарушения правильной последовательности действий).
Она должна быть удобна для работы пользователя. 
	Должна быть предусмотрена возможность обслуживания системы, в том числе и сторонними разработчиками.
	Должна присутствовать авторизация и аутентификация пользователя, возможность тонкой настройки доступа к объектам и функциям системы. 
Программный продукт должен быть патентно чист и иметь возможность законно использоваться в коммерческих целях. Разрабатываемый программный продукт является патентно-чистым. Для функционирования системы необходима покупка либо аренда веб-сервера.

2.2.4.2 Требования к функциям (по подсистемам)
Перечень подлежащих автоматизации задач:
бронирование тура;
голосование;
обратная связь;
хранение базы клиентов;
хранение и обновление базы туров;
удобный интерфейс;
дружественный дизайн;
туристический форум;
передача ссылки;
новости.
Временной регламент реализации каждой функции.
Реализация всех функций должна быть выполнена согласно с этапами и сроками выполнения работ.
Требования к качеству реализации каждой функции, к форме представления выходной информации, характеристики точности, достоверности выдачи результатов.
Перечень и критерии отказов.

2.2.4.3 Требования к видам обеспечения
Система предъявляет следующие требования к видам обеспечения:
а) математическому: пользователь должен быть знаком с методикой проведения горизонтального (временного) анализа, вертикального (структурного) анализа;
б) информационному: Denwer 3 (Apache, PHP, MySQL) – набор дистрибутивов (Apache, PHP, MySQL, Perl и т.д.) и программная оболочка, используемые Web-разработчиками для разработки сайтов на «домашней» (локальной) Windows-машине без необходимости выхода в Интернет. Главная особенность Денвера — удобство при удаленной работе сразу над несколькими независимыми проектами и возможность размещения на Flash-накопителе.;
в) лингвистическому: используется язык программирования «PHP» и Java-script;
г) программному и техническому: 
 1) компьютер конечного пользователя (рекомендуемые параметры): 
операционная система: MS Windows 2000/ XP / Server 2003; 
процессор Intel Pentium III 866 МГц; 
оперативная память 256 Мбайт; 
2) компьютер, используемый для разработки конфигураций: 
операционная система: MS Windows 2000/ XP / Server 2003; 
Intel Pentium IV/Celeron 1800  МГц ; 
оперативная память 512 Мбайт; 
3) сервер ПП: 
операционная система: MS Windows 2000/Server 2003, ОС семейства UNIX; 
процессор Intel Pentium IV/Xeon 2,4 ГГц, рекомендуется два и более процессоров; 
оперативная память 1024 Мбайт; 
4) сервер баз данных: 
технические характеристики компьютера и операционная система должны соответствовать требованиям Microsoft SQL Server 2005, MYSQL Server; 
д) организационному: для функционирования системы необходимы системный администратор и несколько менеджеров;
е) методическому (состав нормативно-технической документации):
инструкция программисту; 
инструкция пользователю.

Состав и содержание работ по созданию системы
Перечень этапов работ и сроки исполнения
Перечень этапов работ и сроки исполнения представлены в таблице 2.1
Таблица 2.1 
Основные этапы работ и сроки их исполнения

Состав исполнителей работ
Работы по созданию системы проводились физическим лицом – Гимадиевой Ч.Р., студенткой УлГТУ, под руководством преподавателя кафедры «Информационные системы» Наместникова Алексея Михайловича.

2.2.6 Требования к программной документации
Техническое задание
Экономическая часть
Инструкция пользователя  ГОСТ 19.505-79 ""РУКОВОДСТВО ОПЕРАТОРА. ТРЕБОВАНИЯ К СОДЕРЖАНИЮ И ОФОРМЛЕНИЮ""
Инструкция программиста ГОСТ 19.503-79 ""РУКОВОДСТВО СИСТЕМНОГО ПРОГРАММИСТА. ТРЕБОВАНИЯ К СОДЕРЖАНИЮ И ОФОРМЛЕНИЮ"" и ГОСТ 19.504-79 ""РУКОВОДСТВО ПРОГРАММИСТА. ТРЕБОВАНИЯ К СОДЕРЖАНИЮ И ОФОРМЛЕНИЮ""
Пояснительная записка",0
